review_id,record_id,url,publisher_raw,title_raw,date_raw,sponsor_raw,keyword_raw,body_chars,body_assessment,scope_assessment,sponsor_evidence,source_csv,source_row,body_sha256,archive_evidence_json,other_source_evidence,metadata_action,recommendation,inclusion_mode,reason,next_action,decision_applied,human_decision
add-01,de086de6-209d-5b9c-9ff2-95ed6e4c20fd,https://www.cnbc.com/advertorial/2015/05/05/how-much-co2-is-emitted-when-you-travel.html,CNBC,How much CO2 is emitted when you travel?,2015-05-05 06:29:25-04:00,TOTALENERGIES,TOTALENERGIES,0,CSV 正文为空。PDF 文本含付费标题、日期、Total 披露，但主要是图示标题、推荐文章与导航，不能直接当成完整文章。,CNBC advertorial；付费披露与 Total 身份相互支持，属于化石燃料企业原生广告候选。,PDF 文本有 PAID POST BY TOTALENERGIES，并有 THIS PAGE WAS PAID FOR BY TOTAL；保留 Total 与 TotalEnergies 两种历史写法及证据，不由关键词统一改写。,C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/nested_unique/native-ads-download/combined_ads_12-4-25.csv,21,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"[{""id"": ""PDF-254"", ""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/summer_2025_run/CNBC/How much CO2 is emitted when you travel_.pdf"", ""sha256"": ""f18a8172959b670f1b8a6f96463f7f69238fe6db75ee5e1ecbbfd5ea507a7d19"", ""pages"": 7, ""text_chars"": 3572, ""text_path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/analysis/pdf_archive/text/PDF-254.txt"", ""match_state"": ""candidate_unverified"", ""index_match_basis"": ""唯一标题匹配"", ""file_hash_verified"": true}]",[],保留原始发布日期 2015-05-05；PDF 同时记载更新日 2019-03-19，应分开保存，不使用 2025 归档日期。,include,metadata_only,商业身份和范围已有本地披露证据，可建议作为仅元数据记录；正文不足单独阻止 RAG。,确认纳入决策；若需要内容问答，再恢复图示主内容并复核页面边界。PDF 推荐区的 Workday 内容不能归于 Total。,false,
add-02,f1b7f3c2-4049-55e7-9717-1a196d6b4336,https://partners.wsj.com/ceraweek/connection/darren-woods-chairman-ceo-exxonmobil-speaks-daniel-yergin-vice-chairman-ihs-markit/ceraweek_darrenwoods_video_fb/,The Wall Street Journal,Paid Program: CERAWeek Connection — CeraWeek_DarrenWoods_Video_FB,2017-03-08 02:06:38+00:00,Cera,Cera,0,CSV 正文为空。PDF 仅一页，展示资源标题、图片 URL 与通用披露。,URL 位于已有 CERAWeek 文章下的附件路径；PDF 明确链接同名 .jpg，支持图片附件而非独立广告文章。,原 sponsor=Cera 仅保留为原始值；Darren Woods/ExxonMobil 是访谈人物和机构，不能据此确认付款方。,C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/nested_unique/native-ads-download/combined_ads_12-4-25.csv,145,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"[{""id"": ""PDF-036"", ""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/summer_2025_run/TheWallStreetJournal/2017-03-08 02_06_38 GMT+0000_PaidProgram_CERAWeekConnection—CeraWeek_DarrenWoods_Video_FB.pdf"", ""sha256"": ""3ba3086125a1e1f6edbdd01096937532c89bd8a342f8978fc13aead5d5cf46d5"", ""pages"": 1, ""text_chars"": 905, ""text_path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/analysis/pdf_archive/text/PDF-036.txt"", ""match_state"": ""candidate_unverified"", ""index_match_basis"": ""唯一标题匹配"", ""file_hash_verified"": true}]","[{""baseline_parent_url"": ""https://partners.wsj.com/ceraweek/connection/darren-woods-chairman-ceo-exxonmobil-speaks-daniel-yergin-vice-chairman-ihs-markit/"", ""match_basis"": ""exact_url"", ""source"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/FA25_SP26/final_dataset_cleaned.csv""}]",保留原 URL 和原始字段，作为父文章资源候选；不增加独立文章计数。,exclude,asset_only,同名 .jpg 与父文章 URL 已有记录是具体附件证据；不是凭标题含 Video 就判定视频文章。,将资源关系候选交纳入者确认；当前主库不变。,false,
add-03,1d7d06d8-433c-5b05-bec6-ab91acf1aaae,https://partners.wsj.com/api/a-road-map-for-bipartisan-energy-progress/,WSJ,Paid Program: Why We Need Better Energy Solutions,2022-11-17 07:23:13+00:00,API,API,5721,CSV 有连续正文、署名、论证、来源及 WSJ 广告部门披露；适合进入正常正文质量与切块流程。,API 负责人倡导美国油气生产、管线/LNG、许可改革及低碳技术；主题、作者机构和商业渠道均明确。,"正文署名 Mike Sommers，President and CEO, American Petroleum Institute；结合 API 品牌 URL 与付费栏目，支持原 sponsor=API，而不是只依赖 keyword。",C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/nested_unique/native-ads-download/combined_ads_12-4-25.csv,272,58ae04f64720d89398ebc3680c68db6968cefce3fde51fa62e49dec0495bdb81,"[{""id"": ""PDF-149"", ""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/WSJ_Paid_Program_Why_We_Need_Better_Energy_Solutions_2022-11-17.pdf"", ""sha256"": ""4eade6b3af797160ab66d7e7530909362edc4c32db92b1ce9e812dd44ced5f32"", ""pages"": 3, ""text_chars"": 7498, ""text_path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/analysis/pdf_archive/text/PDF-149.txt"", ""match_state"": ""candidate_unverified"", ""index_match_basis"": ""唯一标题匹配"", ""file_hash_verified"": true}]","[{""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/jsonl/The Wall Street Journal_dataset_2025-11-07.jsonl"", ""row"": 1, ""url_match"": ""exact"", ""body_relation"": ""exact_match"", ""date_raw"": ""2022-11-17T07:23:13+00:00""}]",CSV/HTML 标题 Why We Need Better Energy Solutions 与 PDF 可见标题 A Road Map for Bipartisan Energy Progress 不同；作为不同来源标题保留，不静默覆盖。,include,text,有可读主体、API 身份及 WSJ 付费栏目证据，建议纳入正文与统计。,确认纳入并保留两种标题角色；按现有版本、来源、切块机制接入。,false,
add-04,0a562ee8-feff-58cd-963b-861b7a441ad7,https://partners.wsj.com/ceraweek/connection/sustainable-u-s-oil-gas-revolution/,WSJ,Paid Program: CERAWeek Connection — How Sustainable Is the U.S. Oil and Gas Revolution?,2017-03-07 23:08:17+00:00,Paid Program: CERAWeek Connection — How Sustainable Is the U.S. Oil and Gas Revolution?,Ceraweek,8389,CSV 有完整油气行业分析，开头付费/广告部门说明、作者与末尾机构介绍。,CERAWeek 付费行业内容讨论美国油气与压裂革命；与当前库已收录的 CERAWeek 行业内容范围一致。,原 sponsor 错填整篇标题，不能作为赞助方。作者 IHS Markit 机构身份也不能证明付款方；规范 sponsor 应保持 unknown。,C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/nested_unique/native-ads-download/combined_ads_12-4-25.csv,273,ec26712743c70803f4d5e4140a4b53bea0df60c4ab2a656c6a9ae88b0155c46b,"[{""id"": ""PDF-010"", ""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/WSJ_Paid_Program_CERAWeek_Connection_How_Sustainable_Is_the_U_S_Oil_and_Gas_Revolution_2017-03-07.pdf"", ""sha256"": ""2b3621ab4cea4ff2829d84639369787d704cd738825f7927be14efd34380da35"", ""pages"": 2, ""text_chars"": 9300, ""text_path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/analysis/pdf_archive/text/PDF-010.txt"", ""match_state"": ""candidate_unverified"", ""index_match_basis"": ""唯一标题匹配"", ""file_hash_verified"": true}]","[{""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/jsonl/The Wall Street Journal_dataset_2025-11-07.jsonl"", ""row"": 2, ""url_match"": ""exact"", ""body_relation"": ""exact_match"", ""date_raw"": ""2017-03-07T23:08:17+00:00""}]",保留坏 sponsor_raw，规范赞助方置空/unknown。若项目边界要求付款方必须是已确认化石燃料公司，则该项应先待核，而非用 CERAWeek/IHS Markit 自动填充。,include,text_sponsor_unknown,按当前包含行业活动付费内容的范围，建议纳入；赞助方缺失不必阻塞正文检索。该建议有明确范围前提。,确认是否维持现有 CERAWeek 范围；如维持则以赞助方未知纳入，如要求确认公司付款则转待核。,false,
add-05,2f4fcd27-c8f1-57d6-9f78-febcae517810,https://partners.wsj.com/ceraweek/connection/will-u-s-become-swing-producer-global-gas-market/ceraweek_article1_hero/,WSJ,Paid Program: CERAWeek Connection — CeraWeek_Article1_Hero,2017-03-07 16:26:45+00:00,Paid Program: CERAWeek Connection — CeraWeek_Article1_Hero,Cera,374,CSV 374 字符、61 个空白分词，只有两段 WSJ 通用披露，没有文章主体；快照 body_available=True 是本条启发式误判。,原 URL 为已有文章的 CeraWeek_Article1_Hero 附件页；PDF 中同名 .jpg 是明确资源证据。,原 sponsor 错填附件标题；不能据标题推断付款方。,C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/nested_unique/native-ads-download/combined_ads_12-4-25.csv,274,56e5c6211447ddec7b44c10351c27e7cebde7f65ad315cdb1d380b320f423d33,"[{""id"": ""PDF-003"", ""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/WSJ_Paid_Program_CERAWeek_Connection_CeraWeek_Article1_Hero_2017-03-07.pdf"", ""sha256"": ""77eba5e5537e7d9d961c221176764ed1877defb2757b9685890acce75d8316a8"", ""pages"": 1, ""text_chars"": 933, ""text_path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/analysis/pdf_archive/text/PDF-003.txt"", ""match_state"": ""candidate_unverified"", ""index_match_basis"": ""唯一标题匹配"", ""file_hash_verified"": true}]","[{""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/jsonl/The Wall Street Journal_dataset_2025-11-07.jsonl"", ""row"": 3, ""url_match"": ""exact"", ""body_relation"": ""exact_match"", ""date_raw"": ""2017-03-07T16:26:45+00:00""}, {""baseline_parent_url"": ""https://partners.wsj.com/ceraweek/connection/will-u-s-become-swing-producer-global-gas-market/"", ""match_basis"": ""exact_url"", ""source"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/FA25_SP26/final_dataset_cleaned.csv""}]",保留附件候选及原始值；不计独立广告，不将通用披露当 RAG 正文。,exclude,asset_only,同名图片资源与已存在父文章相互支持；这是应排除的独立文章计数项。,纳入决策记录为附件排除；本报告不修改当前 body_available 实现或候选快照。,false,
add-06,5799d6c7-1ca5-5a63-afa2-df243f6a2a60,https://www.washingtonpost.com/creativegroup/southern-company/powering-progress-how-southern-company-is-ensuring-americas-energy-future/,The Washington Post,Powering Progress: How Southern Company is ensuring America’s energy future,2024-09-04,Southern Company,Southern Company,7647,CSV 有完整问答和日期署名。PDF 10 页仅 466 文本字符，主要重复披露；PDF 抽取缺失不能否定可用 CSV 正文。,Southern Company CEO 讨论能源组合、天然气、化石燃料减排/CCS、核电与净零，直接涉及项目范围。,品牌 URL、问答中的公司 CEO 身份与 PDF 重复 Content from Southern Company 支持公司归属。,C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/nested_unique/native-ads-download/combined_ads_12-4-25.csv,275,687df7f618bc40768c71eacc179d7c342e30463cf61b745bf923639ed81e8cd1,"[{""id"": ""PDF-033"", ""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/The_Washington_Post_Powering_Progress_How_Southern_Company_is_ensuring_America_s_energy_future_2024-09-04.pdf"", ""sha256"": ""067f9e570a570008651ddbdea2a448ed9818825238a075485fe23fd32159af96"", ""pages"": 10, ""text_chars"": 466, ""text_path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/analysis/pdf_archive/text/PDF-033.txt"", ""match_state"": ""candidate_unverified"", ""index_match_basis"": ""唯一标题匹配"", ""file_hash_verified"": true}]","[{""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/jsonl/The Washington Post_dataset_2025-11-07.jsonl"", ""row"": 17, ""url_match"": ""exact"", ""body_relation"": ""exact_match"", ""date_raw"": ""2024-09-04 19:33:21""}]",CSV 2024-09-04 与正文日期一致。保持 CSV 为此次正文来源，PDF 仍为归档候选。,include,text,明确商业公司归属和可用正文；归档文本残缺单独记录，不阻塞 CSV 检索。,确认纳入；PDF 如需作为正文替代来源需另行恢复验证。,false,
add-07,128102c5-6632-5fe7-abe3-dca6920ccf11,https://www.washingtonpost.com/creativegroup/southern-company/responsibly-green/,The Washington Post,Responsibly Green,2023-06-02,Southern Company,Southern Company,7559,CSV 有连续正文，讨论天然气/煤炭组合、减排、CCS、核电等。,Southern Company 付费内容，自述能源组合与减排路径；在化石燃料广告分析范围内。,品牌 URL、正文公司身份/CEO 引语和对应品牌档案支持 Southern Company；并非只靠关键词。,C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/nested_unique/native-ads-download/combined_ads_12-4-25.csv,276,38d3e343be9b60887a6ec8ca9707ef5a0ceb9f0087d47d7b32103483302cb503,"[{""id"": ""PDF-084"", ""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/The_Washington_Post_Responsibly_Green_2023-06-02.pdf"", ""sha256"": ""4f703091fa44c0d4b66ffe0050d8bd969025fbdbcfe73a531c6d06eb66d6339a"", ""pages"": 7, ""text_chars"": 8861, ""text_path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/analysis/pdf_archive/text/PDF-084.txt"", ""match_state"": ""candidate_unverified"", ""index_match_basis"": ""唯一标题匹配"", ""file_hash_verified"": true}]","[{""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/jsonl/The Washington Post_dataset_2025-11-07.jsonl"", ""row"": 18, ""url_match"": ""exact"", ""body_relation"": ""exact_match"", ""date_raw"": ""2023-06-02T19:24:29""}]","CSV/JSONL 为 2023-06-02，正文署名与 PDF 可见日期为 June 5, 2023。规范日期应暂为 unknown，保留两候选与来源，不能静默选一个。",include,text_date_unknown,商业身份和正文可用；日期冲突只影响日期统计/筛选，不应自动阻塞全文检索。,确认纳入；日期语义核对前，在未知日期组展示，保留日期冲突标记。,false,
add-08,0ba2f283-4ea6-5c44-9df3-a4ecfe393bc4,https://www.cnbc.com/advertorial/2023/03/09/who-will-power-the-power-of-tomorrow-.html,CNBC,Who will power the power of tomorrow?,2023-03-09 19:25:11+00:00,"THE WILLIAMS COMPANIES, INC.",Williams,449,CSV 449 字符、74 个空白分词，只有 CNBC 页脚。PDF 文本有完整度较好的天然气论述，但夹杂重复导航，尚不能直接替换 CSV。,Williams CEO 倡导天然气与管线、许可改革等；原生广告身份及化石燃料范围明确。,"PDF 有 PAID POST FOR THE WILLIAMS COMPANIES, INC.、CEO Alan Armstrong 署名和付款披露；支持原 sponsor。",C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/nested_unique/native-ads-download/combined_ads_12-4-25.csv,277,d0ebef7d5885b4aca567195e7c7547418752e9da9d065204d144ed62b3c14a3a,"[{""id"": ""PDF-014"", ""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/CNBC_Who_will_power_the_power_of_tomorrow_2023-03-09.pdf"", ""sha256"": ""7e89123093454c1b8781d13b3fc3b1f915dc9477430d5a8f4906076f9e54b32f"", ""pages"": 5, ""text_chars"": 6498, ""text_path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/analysis/pdf_archive/text/PDF-014.txt"", ""match_state"": ""candidate_unverified"", ""index_match_basis"": ""唯一标题匹配"", ""file_hash_verified"": true}]","[{""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/jsonl/CNBC_dataset_2025-11-07.jsonl"", ""row"": 3, ""url_match"": ""exact"", ""body_relation"": ""exact_match"", ""date_raw"": ""2023-03-09T19:25:11+0000""}]",保留 2023-03-09 发布候选；页脚版权 2025 不得当发布日期。归档正文恢复前 RAG 关闭。,include,metadata_only,品牌与付费披露充分，可先作元数据记录；现有 CSV 无可用主体。,确认元数据纳入；将 PDF 主体边界清理、来源核验和新正文版本作为独立后续项。,false,
add-09,ea80e728-aa1d-5bbb-b77a-5e1a26b64457,https://www.theatlantic.com/sponsored/bayer-2024/demystifying-menopause/3935/?sr_source=facebook&sr_lift=true,The Atlantic,,,,PTT,0,CSV 正文、标题、赞助方、日期均为空；没有本次索引中的匹配 PDF 或 JSONL 来源线索。,URL 路径提到 Bayer / demystifying-menopause，但这只能作为查证线索，不能据此确认页面内容、付款方或化石燃料范围。,keyword=PTT 无正文/披露支持。既不能将 PTT 当赞助方，也不能只凭 URL 改填 Bayer。,C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/nested_unique/native-ads-download/combined_ads_12-4-25.csv,278,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,[],[],不从 bayer-2024 路径猜发布日期；所有缺失保留 unknown。,hold,pending_evidence,缺乏实际广告内容和身份依据，证据不足以纳入，也不足以断言完整文章范围。,取得真实页面主内容/付费披露后再定范围；本轮不联网穷尽。,false,
add-10,ae93de49-ce84-5980-ac68-99213f11f7ea,https://www.businessinsider.com/sc/mobile-technology-helps-businesses-connect-with-consumers,Business Insider,Customer Connection,,,TotalEnergies,6612,CSV 有金融/移动商业推广主体，但以 That success includes 开始，前文不完整，且重复 Tillys 图片说明。,内容讨论餐车支付、零售 App 和金融服务；明确赞助方为 Synchrony Financial，不是化石燃料企业推广。,正文明确 This post is sponsored by Synchrony Financial.；keyword=TotalEnergies 与直接披露冲突，应保留原值并标错，不能据 keyword 归属 TotalEnergies。,C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/nested_unique/native-ads-download/combined_ads_12-4-25.csv,279,a6a771105a0505ea5502adc9771c0fa11663b27a205212d0d1ee907580ded311,"[{""id"": ""PDF-184"", ""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/Business_Insider_Customer_Connection_NA.pdf"", ""sha256"": ""6a3514b2e761c60dfd092b753ba78aa1525c111ee3ab96dfa179b21d1237c194"", ""pages"": 18, ""text_chars"": 6678, ""text_path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/analysis/pdf_archive/text/PDF-184.txt"", ""match_state"": ""candidate_unverified"", ""index_match_basis"": ""唯一标题匹配"", ""file_hash_verified"": true}]","[{""path"": ""C:/Users/yaobc/Documents/ChatGPT/549 native ads/sources/pdf_archive_20260915/pdfs/fall_2025_run/jsonl/Business Insider_dataset_2025-11-07.jsonl"", ""row"": 1, ""url_match"": ""exact"", ""body_relation"": ""exact_match"", ""date_raw"": """"}]",若另存通用原生广告语料，规范赞助方应以 Synchrony Financial 披露为依据；本项目不纳入。版权 2018 不是已确认发布日期。,exclude,out_of_scope,有明确商业身份，但属于金融推广，化石燃料范围不成立。,记录范围排除；不要为扩充数量纳入，不自动修改原始关键词。,false,
