"run_id","data_version","case_id","claim_id","question","rubric","claim","citation_number","record_id","version_id","evidence_id","title","source_url","quote","quote_start","quote_end","paragraph_ids","context_excerpt","ai_text_support","ai_attribution","ai_units_temporality","ai_task_completeness","ai_language","ai_notes","suggested_action","human_verdict","human_notes"
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-01","dev-01-1","What feedstock supplies the biogas digesters used in Total and GoodPlanet's employee air-travel offset project, and where is the project?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The digesters are supplied daily with livestock slurry. [1]","1","01374b51-3fae-5fe7-8c60-b4bffa2b7ba0","eaae7ec0fbb8b83f82532ee0722ce0c2c95d51dcfd9df8ea4e24ec72b82dfdef","f5757e1fa9dd3d7a6669524340f2affbba46c7afc6a198ef0c567d62b6a9acc5","Biogas to offset air travel emissions","https://www.cnbc.com/advertorial/2018/11/09/biogas-to-offset-air-travel-emissions.html","A biogas digester is a concrete structure with a fermentation chamber that is fed with livestock slurry each day. As the slurry decomposes, it produces biogas (methane and CO2) that can supply a household with two to three cubic meters of gas per day, or three to four hours of cooking heat and hot water.","1126","1431","[""p1""]","Total and GoodPlanet Foundation signed an agreement in late 2017 to neutralize the carbon emissions of all Total employee air travel through a biogas digester project in Adilabad district, India.","有据","缺少显式广告归因","每日原料为畜粪浆；没有将产气或健康效果列为实测。","与第二条合计覆盖原料和地点。","英文，与题目一致","畜粪浆原料由 quote 直接支持。项目归属可由同 evidence 紧邻前文确认。答案使用直接事实口吻，rubric 要求广告或受访者归因。","在答案开头加入 According to the advertisement，后句承接该归因。","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-01","dev-01-2","What feedstock supplies the biogas digesters used in Total and GoodPlanet's employee air-travel offset project, and where is the project?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The employee air-travel offset project is in Adilabad district, India. [2]","2","01374b51-3fae-5fe7-8c60-b4bffa2b7ba0","eaae7ec0fbb8b83f82532ee0722ce0c2c95d51dcfd9df8ea4e24ec72b82dfdef","f5757e1fa9dd3d7a6669524340f2affbba46c7afc6a198ef0c567d62b6a9acc5","Biogas to offset air travel emissions","https://www.cnbc.com/advertorial/2018/11/09/biogas-to-offset-air-travel-emissions.html","""We'd reduced the number of trips by 20 percent since 2014. It didn't make sense to offset our carbon emissions without cutting back on air travel first."" Total and GoodPlanet Foundation signed an agreement in late 2017 to neutralize the carbon emissions of all Total employee air travel through a biogas digester project in Adilabad district, India.","775","1125","[""p1""]","","有据","缺少显式广告归因","印度 Adilabad 区；没有新增数量、日期或抵消绩效。","明确回答项目地点，与第一条共同完成事实信息点。","英文，与题目一致","quote 明确包含 Total、GoodPlanet、员工航空出行抵消项目和地点。内容有据不消除正文未说明广告来源的缺口。","让本句明确承接 According to the advertisement。","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-02","dev-02-1","How does the ExxonMobil Baytown hydrogen advertisement link natural gas to CCS, and is the new hydrogen facility described as already completed?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The advertisement describes blue hydrogen as being produced from natural gas together with carbon capture and storage (CCS). [1]","1","0d2b4bc2-4397-5604-8235-fcda8c7088f7","7edbf6617dc344578452865c341bfe53f5f18beb6b9bc30caa51aa6e96269cde","c073c2acb5b73e32052753e012aa8417b7b0026652834dafc4d2fcd38df051f7","Hydrogen: Another Chapter in ExxonMobil's Lower-Emissions Ambitions","https://partners.wsj.com/exxonmobil/business-of-carbon-capture-and-storage/hydrogen-another-chapter-in-exxonmobils-lower-emissions-ambitions/","Blue hydrogen is a low-carbon fuel produced from natural gas in combination with carbon capture and storage (CCS). This clean-burning fuel produces zero CO2 when combusted, meaning it can play a vital role in a lower-emission future.","279","512","[""p1""]","","有据","明确归于 advertisement","蓝氢由天然气与 CCS 结合生产；未把燃烧端零 CO2 扩大为生命周期零排放。","回答天然气与 CCS 的连接机制。","英文，与题目一致","claim 只转述 quote 的生产关系，未将引文第二句的额外环保主张带入回答。","","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-02","dev-02-2","How does the ExxonMobil Baytown hydrogen advertisement link natural gas to CCS, and is the new hydrogen facility described as already completed?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The new Baytown facility is described prospectively: it could produce up to 1 billion cubic feet per day once completed, so the advertisement does not present it as already completed. [2]","2","0d2b4bc2-4397-5604-8235-fcda8c7088f7","7edbf6617dc344578452865c341bfe53f5f18beb6b9bc30caa51aa6e96269cde","c073c2acb5b73e32052753e012aa8417b7b0026652834dafc4d2fcd38df051f7","Hydrogen: Another Chapter in ExxonMobil's Lower-Emissions Ambitions","https://partners.wsj.com/exxonmobil/business-of-carbon-capture-and-storage/hydrogen-another-chapter-in-exxonmobils-lower-emissions-ambitions/","Once completed, the new facility could produce up to 1 billion cubic feet a day of blue hydrogen that can be used to help fuel the existing Baytown complex as well as other industrial facilities in the area.","688","895","[""p1""]","","有据；产物由 quote 和同答前句明确","明确归于 advertisement","最多每天 10 亿立方英尺；保留 could、up to、once completed，句内未重复 blue hydrogen。","说明广告没有将新设施描述为已完成；产量是相关补充。","英文，与题目一致","选中 quote 明确产物为蓝氢；前句亦指明蓝氢。没有实际混为 CCS 吨数，但孤立读本句的量纲对象不够明确。","在 cubic feet per day 后补 of blue hydrogen，提高独立阅读清晰度。","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-03","dev-03-1","What caveat does the Statoil-commissioned Forbes technology article acknowledge about carbon capture deployment?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","El artículo reconoce que, aunque la captura de carbono parece viable desde el punto de vista tecnológico, hasta la fecha ha tenido muy poco despliegue exitoso. [1]","1","11cb9509-d4c7-5bbe-bd19-ad24d914e43e","8bccf73894f2cbf7e0de049b4e3d8d861950166dc034008dcc9922245b77a9c8","5d7fcc01e5f4640df12ff0a636fcdbc92d8e6d33a587f137720066ce1ca072c3","The Technology Behind Energy Innovation","https://www.forbes.com/sites/statoil/2015/03/05/the-technology-behind-energy-innovation/","""There is a lot of talk around carbon capture,"" comments Michel Di Capua of Bloomberg New Energy Finance. ""In some respects, especially from a technology perspective, it appears workable, but to date it has had very little successful deployment."" Delivery and transport of energy is not left out of the new-tech equation.","2725","3046","[""p1""]","Some solutions considered promising are currently under-delivering. Carbon capture and storage (CCS) is vital for the goal of meeting future energy demand while remaining on a low-carbon path, but it still faces economic challenges despite the existence of proven technology.","有据；西班牙语转述含义忠实","El artículo reconoce 明确归于文章","技术上看似可行、截至文章所述时期成功部署很少；未说绝对不可行。","已答部署不足，省略同 evidence 明确写出的经济挑战；原题及 rubric 未显式要求穷尽原因，需人工裁定完整性。","语言偏离：英文题，西班牙语答","答案没有经济障碍。此遗漏不是 quote 的事实矛盾，也不能仅因没逐字复述 gold 就判错；若研究目的为解释部署不足的原因则不够完整。此次另有明显语言偏离。","以英文回答；可补充文章承认即使技术已获证实仍有经济障碍，并限定为文章发表时的看法。","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-04","dev-04-1","Why does AFPM's Politico plastics advertisement describe limits to mechanical recycling?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","L’AFPM décrit ces limites parce que le broyage et la fusion des déchets plastiques affaiblissent progressivement le plastique, ce qui limite la quantité de matière recyclée postconsommation pouvant être incorporée dans un sac ou un gobelet sans compromettre sa résistance. [1]","1","efb2878e-efea-5821-a9c1-20851779c77a","f4cd4434854b6676f9802fb9029d631471e5803e90c742e0c6ffb9112072568e","220356629a5e67ab9420ba4b88a6abf88563d951315311aa42f445b53579cf7b","Petrochemical manufacturers use chemistry to make plastic more sustainable and recyclable - POLITICO","https://www.politico.com/sponsor-content/2019/03/petrochemical-manufacturers","But by simply shredding and melting post-consumer waste into new pellets, its scale is limited — the process weakens the plastic over time, and therefore restricts how much postconsumer recycled content can be put in a plastic bag or cup without compromising strength.","2571","2839","[""p1""]","","有据；法语转述含义忠实","L’AFPM décrit 明确归于 AFPM","强度逐渐下降限制可掺入的消费后回收料数量；没有改成完全不能回收。","回答机械回收限制的主要原因。","语言偏离：英文题，法语答","法语 broyage、fusion、résistance 对应原句的 shredding、melting、strength；未增加无据机制。","按英文问题用英文表达。","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-04","dev-04-2","Why does AFPM's Politico plastics advertisement describe limits to mechanical recycling?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","Elle ajoute que les produits recyclés mécaniquement sont souvent bruns ou gris, car il est difficile d’en retirer la couleur. [2]","2","efb2878e-efea-5821-a9c1-20851779c77a","f4cd4434854b6676f9802fb9029d631471e5803e90c742e0c6ffb9112072568e","220356629a5e67ab9420ba4b88a6abf88563d951315311aa42f445b53579cf7b","Petrochemical manufacturers use chemistry to make plastic more sustainable and recyclable - POLITICO","https://www.politico.com/sponsor-content/2019/03/petrochemical-manufacturers","Another issue is many mechanically recycled products are brown or gray because it is hard to strip out the color. Petrochemical manufacturers have worked for years alongside their customers to tweak and perfect formulas for recycled and virgin plastics, but to create more products that contain primarily recycled material will require the adoption of chemical recycling.","2840","3211","[""p1""]","","有据；法语转述含义忠实","Elle 承接上一条 AFPM","often/通常为棕或灰，原因是难脱色；保留频率限定。","同篇相关补充，与机械回收局限直接相关。","语言偏离：英文题，法语答","claim 只采用颜色限制；没有把 quote 后半的必须采用化学回收作为已核实结论。","与第一条一并改用英文。","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-05","dev-05-1","How does Total connect bacteria and microalgae in water treatment with CO2 emissions, biogas and biofuels?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","Dans l’article sur l’eau plus propre, Total indique que ses équipes développent de la biomasse à partir de bactéries et de microalgues pour contribuer à compenser les émissions de CO2, tout en étudiant l’utilisation des microalgues pour produire du biogaz et des biocarburants. [1]","1","42114981-e507-5753-9b3a-62c09a7624a2","7fe1c03545486246ec78dc5c70e0b3f53587d96cab6c23f787852e377c84166f","f3544aa5fb7e1a6451d37a06551ce9e3a01f86b4dd8632ffbe608bd2ba79fd37","Total: Using biomimicry for cleaner water","https://www.cnbc.com/advertorial/total-using-biomimicry-for-cleaner-water/",""" His R&D team is pioneering ways of creating biomass using bacteria and microalgae, which will help offset CO2 emissions, as well as looking at microalgae to produce biogas and biofuels. Ways of working will change as Total realizes its ambition to become the responsible energy major, BIOMEM will be a part of that change, ""We often work in partnership","6994","7348","[""p1""]","""These sorts of ideas are the backbone of Total's environmental goals,"" says Baldoni-Andrey, ""We are working on other processes for all sorts of different issues. Take the reinjection of water into reservoirs, if we could do that easily and immediately, we could say that we don't have any discharges from the process. That's certainly a point we'd like to reach.""","有据；R&D 团队主体由同 evidence 恢复","Total indique 明确归于 Total","保留 develops/研究中的生物质和微藻燃料路线；没有量化或宣称已实测抵消。","覆盖 bacteria/microalgae、CO2、biogas、biofuels 四个关系；未展开 BIOMEM 机制，但该题没有明确要求机制细节。","语言偏离：英文题，法语答","quote 的 His R&D team 指向同片段 Baldoni-Andrey 与 Total。法语表达所述研发关系准确；不能从这里推导工业化或净减排已验证。","按英文问题用英文表达，并保留研发措辞。","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-06","dev-06-1","Describe the methane target announced at the OGCI CEO meeting in Total's 2018 carbon-intensity advertisement.","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The OGCI CEO meeting announcement included a target to curb methane emissions by 20 percent by 2025. [1]","1","1cd348bd-2725-5147-a290-8d40341a15de","5e615e3f77a7ae14483f4cc61e84b7714f74f633cc7db78a38141979633de361","b5ff0ddd3be574ca68d6b622298cfdaf403e1a27eb42860f0711e913381d40ea","Total gives itself 15 years to make its products 15 percent less carbon intensive","https://www.cnbc.com/advertorial/2018/10/30/total-gives-itself-15-years-to-make-its-products-15-percent-less-carbon-intensive.html","Measures involving methane were announced at the OGCI CEO meeting, including a 20 percent curb in methane emissions by 2025. Methane's warming potential over 20 years is 80 times greater than that of CO2. The decision shows that fighting climate disruption requires adaptation and innovation, as well as policies, businesses and citizens","2474","2811","[""p1""]","","有据","部分：归于 OGCI 会议公告，未显式说明材料来源为 Total 广告","甲烷排放目标降低 20%，期限 2025；未补基准年、强度分母或达标结论。","覆盖题目所问的目标和期限。","英文，与题目一致","target 与 announcement 清楚保留目标状态。会议归因并不等于独立核验该公告；可补广告来源以与项目证据边界一致。","可在开头补 According to Total’s advertisement。","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-07","dev-07-1","How do the ExxonMobil Baytown and PETRONAS Kasawari CCS advertisements mark capacity as prospective rather than achieved?","[""Retrieve both required advertisements; one matching record is insufficient."",""Identify prospective wording in both and distinguish their units: hydrogen production versus proposed CO2 reductions."",""Do not report either planning figure as an independently measured operating result.""]","The ExxonMobil Baytown advertisement describes capacity conditionally: once the facility is completed, it could produce up to 1 billion cubic feet a day of blue hydrogen. [1]","1","0d2b4bc2-4397-5604-8235-fcda8c7088f7","7edbf6617dc344578452865c341bfe53f5f18beb6b9bc30caa51aa6e96269cde","c073c2acb5b73e32052753e012aa8417b7b0026652834dafc4d2fcd38df051f7","Hydrogen: Another Chapter in ExxonMobil's Lower-Emissions Ambitions","https://partners.wsj.com/exxonmobil/business-of-carbon-capture-and-storage/hydrogen-another-chapter-in-exxonmobils-lower-emissions-ambitions/","Once completed, the new facility could produce up to 1 billion cubic feet a day of blue hydrogen that can be used to help fuel the existing Baytown complex as well as other industrial facilities in the area.","688","895","[""p1""]","","有据","明确归于 ExxonMobil Baytown advertisement","最多每天 10 亿立方英尺蓝氢，完成设施后才可能生产。","覆盖比较中 Baytown 的生产量和未来条件；需与同答 Kasawari 条目共同读。","英文，与题目一致","蓝氢产量与下条 CO2 捕集质量单位分开，没有相加或等同。","","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-07","dev-07-2","How do the ExxonMobil Baytown and PETRONAS Kasawari CCS advertisements mark capacity as prospective rather than achieved?","[""Retrieve both required advertisements; one matching record is insufficient."",""Identify prospective wording in both and distinguish their units: hydrogen production versus proposed CO2 reductions."",""Do not report either planning figure as an independently measured operating result.""]","It likewise says the CCS component could capture up to 10 million metric tons of CO2 per year, marking that capacity as a possibility rather than an achieved result. [2]","2","0d2b4bc2-4397-5604-8235-fcda8c7088f7","7edbf6617dc344578452865c341bfe53f5f18beb6b9bc30caa51aa6e96269cde","c073c2acb5b73e32052753e012aa8417b7b0026652834dafc4d2fcd38df051f7","Hydrogen: Another Chapter in ExxonMobil's Lower-Emissions Ambitions","https://partners.wsj.com/exxonmobil/business-of-carbon-capture-and-storage/hydrogen-another-chapter-in-exxonmobils-lower-emissions-ambitions/","The CCS portion of the process could capture up to 10 million metric tons of CO2 a year and will be one of the world's largest CCS projects. Fueling the Baytown facility with blue hydrogen could significantly reduce the olefin plant's CO2 emissions and cut emissions up to 30% across the integrated complex.","896","1203","[""p1""]","","有据","It 承接 ExxonMobil advertisement","最多每年 1,000 万 metric tons CO2；could 与 possibility 保留未来能力限定。","相关的 CCS 能力补充；与蓝氢产量和 Kasawari CO2e 减排目标分别陈述。","英文，与题目一致","CCS component 明确，不将 potential capture 说成已测量 achieved result。未擅自加入 quote 中未被 claim 使用的其他排放比例。","","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-07","dev-07-3","How do the ExxonMobil Baytown and PETRONAS Kasawari CCS advertisements mark capacity as prospective rather than achieved?","[""Retrieve both required advertisements; one matching record is insufficient."",""Identify prospective wording in both and distinguish their units: hydrogen production versus proposed CO2 reductions."",""Do not report either planning figure as an independently measured operating result.""]","The PETRONAS Kasawari advertisement presents its prospective capacity through a future condition: it aims to cut emissions by 3.3 million tons of carbon dioxide equivalent annually when the project comes onstream, potentially as early as 2026. [3]","3","049b49ed-d68f-506a-b7e4-b8369dc1b8fe","83b81641400c1c76a8650f4f29831d192a02a9e95f5e43f66d5f19d16ead3d6d","0a449b36697c47289a0e37c931cd5364e391333fcde9eb7f38b8959fbec20e64","Building On An Innovation Legacy Toward A Sustainable Future","https://www.forbes.com/sites/petronas/2024/12/16/building-on-an-innovation-legacy-toward-a-sustainable-future/","Also, the game-changingKasawari carbon capture and storage(CCS) project is poised to unlock high CO2 gas field developments, while aiming to cut CO2 emissions by 3.3 million tons of carbon dioxide equivalent (MTCO2e) annually when it comes onstream as early as 2026.","5586","5852","[""p1""]","","有据","明确归于 PETRONAS Kasawari advertisement","每年 330 万 tons carbon dioxide equivalent；aims、when onstream、potentially as early as 2026 均保留。","覆盖第二篇广告，并明确与 Baytown 蓝氢产量不同的单位和未来条件。","英文，与题目一致","没有把 CO2e 改成蓝氢单位或已运行减排，也未把最早 2026 改成确定投产日期。","","",""
"532453a7c43740ecbe5f4954d3522f41","c5ad20ac2938e619e11fe1f8bfc26b97","dev-08","dev-08-1","在2022年Politico的Enbridge原生广告中，低碳氢和氨生产出口中心怎样与CCS相连？哪些说法属于规划？","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","该中心与CCS的连接方式是：在恩布里奇英格尔赛德能源中心规划低碳氢和氨的生产与出口枢纽，并将其与碳捕集和封存设施纳入同一计划；这些设施拟封存生产过程中产生的二氧化碳，最高可达95%。 [1]","1","e1c336a6-d8ed-5fec-9147-5f4efc588cc1","efad198d81b6d0420340a90641764cbbb3ecef6daa948980b7d5a93c1366537b","d58c10bd767d9de511b2cfaacd99e4bdea703a072136e06f25b32c9ee5a2ddf3","Bridging to a sustainable and secure energy future","https://www.politico.com/sponsor-content/2022/09/07/bridging-to-a-sustainable-and-secure-energy-future","Onsite, Enbridge is in the planning stages of a 60-megawatt solar farm that will deliver electricity to the local grid. Enbridge also announced plans to develop a low-carbon hydrogen and ammonia production and export hub at the site, including carbon capture and storage facilities to sequester up to 95% of the carbon dioxide generated in production.","1450","1801","[""p1""]","Akman cites Enbridge's Ingleside Energy Center in Corpus Christi, Texas, as an example, where the company is developing a net-negative export facility.","有据；场址需同 evidence 的必要指代上下文","主体为恩布里奇；本句未写广告称，同答第二句出现广告归因","低碳氢氨生产出口枢纽含 CCS；拟封存最多 95% 的生产过程 CO2，非全生命周期温室气体。","回答枢纽与 CCS 的连接和规划比例。","中文，与题目一致","短 quote 只写 Onsite/at the site。英格尔赛德场址在同一 evidence 的前文明示，按必要指代口径支持；单独展示短 quote 不自足。不得把前文 net-negative 另行视作 claim 已验证。","保留查看同 evidence 前文的入口；可在首句补广告称。","",""
