case_id,claim_index,claim,quote,evidence_id,assistant_assessment,reason,human_verdict
dev-01,1,The digesters are fed daily with livestock slurry; dung from two cows is enough to supply an average family.,"A biogas digester is a concrete structure with a fermentation chamber that is fed with livestock slurry each day. As the slurry decomposes, it produces biogas (methane and CO2) that can supply a household with two to three cubic meters of gas per day, or three to four hours of cooking heat and hot water.",f3f7d517d5800644716ec19a1aaa57bd0345990cb94b06b14cee3de86e3a6c80,partial,所选 quote 直接支持每天投入牲畜浆液以及家用沼气用途，但没有“两头牛的粪便足够平均一家”这句。完整同一 evidence 在所引段落紧接下一句支持该补充，并无项目或原料错归；严格引用验收仍需换引文或删去该额外细节。,
dev-05,6,"Separately, Total describes microalgae as using CO2 in photosynthesis to produce lipids that can be processed into fuels and polymers, and says facilities could supply the algae with CO2 generated by refineries, cement factories and steel plants.","Harnessing the potential of microalgae Thanks to photosynthesis, which uses sunlight as an energy source and carbon dioxide as a carbon source, microalgae can directly convert CO2 into lipids (oils) that can be processed into molecules of interest, such as fuels and polymers, with a low carbon footprint. Therefore it's not surprising that microalgae has attracted the industry's interest.",9cec9237fa4aaabd6162ab594d1ce935bef5475c938fb4f46c0a55eefc1642a6,partial,所选 quote 支持 CO2/光合作用→脂质→燃料及聚合物，但未包含炼厂、水泥厂、钢铁厂为微藻供应 CO2 的后半主张；这部分存在于同一完整 evidence 的后文。来源是另一篇微藻生物燃料广告，Separately 已标明，且本题核心已由1–3条完成；因此是额外背景的引用覆盖缺口，不是将另一项目冒充目标联系。,
dev-07,3,The PETRONAS Kasawari advertisement marks capacity as prospective by saying the project is “poised” to unlock high-CO2 gas-field developments and aims to cut emissions by 3.3 million MTCO2e annually when it comes onstream as early as 2026.,"Also, the game-changingKasawari carbon capture and storage(CCS) project is poised to unlock high CO2 gas field developments, while aiming to cut CO2 emissions by 3.3 million tons of carbon dioxide equivalent (MTCO2e) annually when it comes onstream as early as 2026.",3a1caa866f42772bc29e5e632648956104746b7bd511056d7a48220306a11941,partial,quote 完整支持 PETRONAS Kasawari、poised/aiming、投产后及最早2026年的条件，主体和规划状态均正确。但 claim 使用 3.3 million MTCO2e，继承了来源括号中 MT 缩写的解释歧义；宜明确为3.3 million tons/tonnes of CO2 equivalent per year。不能仅凭现有缩写断定答案把数字放大百万倍，仍需人工确认最终单位措辞。,
dev-01,2,"The employee air-travel offset project is in Adilabad district, in the Indian state of Telangana.","Circular to the very end, the fermented slurry, called digestate, is also used as a natural fertilizer, replacing purchases of costly and polluting chemical agricultural inputs. Fully funded by Total's carbon offsets, the project plans to install 8,400 biogas digesters for use by 45,000 residents in the Adilabad district of the Indian state of Telangana over three years (2018-2021).",f3f7d517d5800644716ec19a1aaa57bd0345990cb94b06b14cee3de86e3a6c80,supported,quote 明确写 Adilabad district of the Indian state of Telangana；同一 evidence 将它连接到 Total/GoodPlanet 员工航空抵销项目。地点、邦及国家表达有据，没有将规划减排数字写成实测效果。,
dev-02,1,The advertisement describes blue hydrogen as produced from natural gas in combination with carbon capture and storage (CCS).,"Blue hydrogen is a low-carbon fuel produced from natural gas in combination with carbon capture and storage (CCS). This clean-burning fuel produces zero CO2 when combusted, meaning it can play a vital role in a lower-emission future.",63eb9019881347c2d291ea3455f6fd40039975e33c9cd489ba10b8807989409c,supported,quote 完整包含自然气与 CCS 结合制蓝氢的关系；回答以 advertisement describes 归因，没有把广告的低碳称谓升级为独立技术认证。对应 ExxonMobil Baytown，文章身份一致。,
dev-02,2,It says the Baytown project’s CCS component could capture up to 10 million metric tons of CO2 per year.,The CCS portion of the process could capture up to 10 million metric tons of CO2 a year and will be one of the world's largest CCS projects. Fueling the Baytown facility with blue hydrogen could significantly reduce the olefin plant's CO2 emissions and cut emissions up to 30% across the integrated complex.,63eb9019881347c2d291ea3455f6fd40039975e33c9cd489ba10b8807989409c,supported,quote 完整支持 CCS component、could、up to、10 million metric tons of CO2 a year；回答保留潜在量、物质、单位和时间基准，没有与蓝氢体积产量混淆。,
dev-02,3,"The new facility is not described as already completed; the advertisement says that, once completed, it could produce up to 1 billion cubic feet per day of blue hydrogen.","Once completed, the new facility could produce up to 1 billion cubic feet a day of blue hydrogen that can be used to help fuel the existing Baytown complex as well as other industrial facilities in the area.",63eb9019881347c2d291ea3455f6fd40039975e33c9cd489ba10b8807989409c,supported,quote 包含 Once completed、could、up to、1 billion cubic feet a day、blue hydrogen。回答完整保留完工条件与产品单位；结合全段的 plan to build，“广告未描述为已完成”有据。,
dev-03,1,The article acknowledges that carbon capture technology appears workable in some respects but has had very little successful deployment to date.,"""There is a lot of talk around carbon capture,"" comments Michel Di Capua of Bloomberg New Energy Finance. ""In some respects, especially from a technology perspective, it appears workable, but to date it has had very little successful deployment."" Delivery and transport of energy is not left out of the new-tech equation.",67f870082c904a4e2d750c68854f7ac9bba8ac30b2fc8b0967093aad5a9dc0ad,supported,quote 完整包含 Michel Di Capua 对技术似乎可行但当时成功部署很少的让步。回答归因于 article，未误称为 Statoil 直接发言。to date 需按2015年文章语境理解；经济挑战可补充，但该问题/rubric没有要求列尽所有让步。,
dev-04,1,"The advertisement says mechanical recycling is limited because shredding and melting post-consumer waste weakens the plastic over time, restricting how much recycled content can be used without compromising the strength of a bag or cup.","But by simply shredding and melting post-consumer waste into new pellets, its scale is limited — the process weakens the plastic over time, and therefore restricts how much postconsumer recycled content can be put in a plastic bag or cup without compromising strength.",07bb2e0a00453b2f513e03e0cf0b6c25e19307a74a91cf609b71c81b0e1114fa,supported,quote 现在完整覆盖粉碎/熔融→塑料变弱→回收成分比例受强度限制的因果链。bag/cup、时间及强度条件均保留，属于 AFPM 的 Politico 广告叙述。,
dev-04,2,It also says mechanically recycled products are often brown or gray because their color is difficult to remove.,"Another issue is many mechanically recycled products are brown or gray because it is hard to strip out the color. Petrochemical manufacturers have worked for years alongside their customers to tweak and perfect formulas for recycled and virgin plastics, but to create more products that contain primarily recycled material will require the adoption of chemical recycling.",07bb2e0a00453b2f513e03e0cf0b6c25e19307a74a91cf609b71c81b0e1114fa,supported,quote 明确说许多机械回收产品呈棕/灰色，因为去色困难。回答把 many 概括为 often，保留广告归因，未引入其他企业或不在文中的原因。,
dev-05,1,Total’s R&D team is developing biomass using bacteria and microalgae as a way to help offset CO2 emissions.,""" His R&D team is pioneering ways of creating biomass using bacteria and microalgae, which will help offset CO2 emissions, as well as looking at microalgae to produce biogas and biofuels. Ways of working will change as Total realizes its ambition to become the responsible energy major, BIOMEM will be a part of that change, ""We often work in partnership",d8de3d390bc0a5c8f0352405abd63d9ca5baf482293e915729d9ab3b669ce235,supported,新取回的目标文章末段明确写该研发团队探索利用细菌和微藻制造生物质以帮助抵销 CO2。claim 的 developing/as a way to help 保留研发与预期语气，没有声称已达到实测抵销效果；不再借其他项目替代目标联系。,
