review_id,record_id,url,title,source_path,source_row,source_row_basis,source_sha256,body_sha256,body_chars,boundary,prefix_tail_anchor,post_boundary_anchor,resumption_anchors_json,current_boundary_assessment,ai_suggestion,reason,suggested_retained_ranges_json,excluded_navigation_quotes,retained_chars,restored_chars_after_old_boundary,navigation_chars_removed_from_old_prefix,source_integrity_assessment,completeness_assessment,claim_truth_assessment,reviewer_type,decision_applied,human_verdict
pb-01,56c271d4-5075-58fa-b874-58ac2b02e372,https://www.theatlantic.com/sponsored/chevron-stem-education/the-science-of-rural-education/207/,The New Science of Rural Education,sources/FA25_SP26/final_dataset_cleaned.csv,4,logical_record_including_header,689f330321e42ea608070b2590fa24ee6c2bfb06dbc671941b1f0a927f4ceffa,75dcef52f15e8a8ae5fe0ba5b94e51978ecbc6f04c1068a19de39a94f21fe5bc,5590,365,facing most Americans around the U.S.A Multi-part Series:Re-engineering the Futureof American Education,Read More Stories Although the country as a whole had lost 3.7,"[{""offset"": 383, ""text"": ""Although the country as a whole had lost 3.7 million jobs since""}]",over_excludes_body_and_retains_banner,adopt_minimal_navigation_exclusions,系列横幅插在第一段与同篇就业/STEM 叙事之间。当前前缀还保留了横幅前半段，并漏掉 Chevron、Benedum 与教育计划的主体。,"[[0, 299], [383, 5590]]","[{""start"": 299, ""end"": 383, ""text"": ""A Multi-part Series:Re-engineering the Futureof American EducationRead More Stories ""}]",5506,5207,66,exact_body_from_sha256_bound_baseline_csv,未见文尾硬截断；未核实网页全篇完整性。,not_assessed,ai,false,
pb-02,2123540e-b363-5daf-9308-4655f00e0d8e,https://www.cnbc.com/advertorial/2016/09/29/explaining-energy-to-future-citizens.html,Explaining energy to future citizens,sources/FA25_SP26/final_dataset_cleaned.csv,38,logical_record_including_header,689f330321e42ea608070b2590fa24ee6c2bfb06dbc671941b1f0a927f4ceffa,9fec020f4b985da1f03d7ad075a4718575cd9ea8eec5bf1da338c050e8db808a,2852,1176,site for knowledge and facts about energy — every type of energy.,For more on the subject: This goal did not go unnoticed by,"[{""offset"": 1201, ""text"": ""This goal did not go unnoticed by a major French educational publisher,""}]",over_excludes_body,adopt_minimal_navigation_exclusions,导航标记后立即继续前文的教育目标，并介绍 Nathan 与 Total 的教学材料合作、学校推广及教师反馈；不能视为导航页脚。,"[[0, 1176], [1201, 2852]]","[{""start"": 1176, ""end"": 1201, ""text"": ""For more on the subject: ""}]",2827,1651,0,exact_body_from_sha256_bound_baseline_csv,原文末尾省略，且开头/正文的网站名称疑似丢失；区间修正不补造名称。,not_assessed,ai,false,
pb-03,44f246bc-5fe4-516d-b402-c7498cb0263e,https://www.cnbc.com/advertorial/2016/11/14/babyloan-and-total-microfinancing-access-to-energy.html,"Babyloan and Total, microfinancing access to energy",sources/FA25_SP26/final_dataset_cleaned.csv,41,logical_record_including_header,689f330321e42ea608070b2590fa24ee6c2bfb06dbc671941b1f0a927f4ceffa,dc470f4e9201218663d64017f5a42a073f27274780007e80c74ac4c644326135,3000,932,— and jumped at the chance to work on a joint project.,"For more on the subject: Awango by Total: Global Vision, Local Deployment","[{""offset"": 1006, ""text"": ""AP: There are several. For starters, working with Total involves lots of""}]",over_excludes_body,adopt_minimal_navigation_exclusions,Awango 是相关链接标题；AP/PC 对话随后继续 Babyloan 与 Total 合作的项目管理、微贷机构筛选及融资机制。,"[[0, 932], [1006, 3000]]","[{""start"": 932, ""end"": 1006, ""text"": ""For more on the subject: Awango by Total: Global Vision, Local Deployment ""}]",2926,1994,0,exact_body_from_sha256_bound_baseline_csv,原文在约 3000 字符处以省略号结束，保持 body_truncated_suspected；恢复区间不能证明全文完整。,not_assessed,ai,false,
pb-04,f0787f9b-dd46-5650-9bac-8fb1712de882,https://www.cnbc.com/advertorial/2017/01/18/totals-innovation-boosting-production-pilots.html,Total's innovation-boosting production pilots,sources/FA25_SP26/final_dataset_cleaned.csv,43,logical_record_including_header,689f330321e42ea608070b2590fa24ee6c2bfb06dbc671941b1f0a927f4ceffa,257ae01629ec60ec5349d6fe74bb733e3972cdc9210307bb2c2094f7d49373f8,2998,2334,six front-line projects were picked to move on to the incubation phase.,For more on the subject: Total at the forefront of transition There,"[{""offset"": 2396, ""text"": ""There are, of course, technical solutions, or genuine innovations, \""Some of which""}]",over_excludes_body,adopt_minimal_navigation_exclusions,相关链接结束后继续 Miguel 对 Plant 4.0、员工与初创企业合作方式的论述，沿用同一人物和主题。,"[[0, 2334], [2396, 2998]]","[{""start"": 2334, ""end"": 2396, ""text"": ""For more on the subject: Total at the forefront of transition ""}]",2936,602,0,exact_body_from_sha256_bound_baseline_csv,原文在约 3000 字符处以省略号结束，保持 body_truncated_suspected；恢复区间不能证明全文完整。,not_assessed,ai,false,
pb-05,99195345-0b7d-55ac-8249-9d5a47f5d23c,https://www.cnbc.com/advertorial/2017/02/07/can-rd-solve-the-daunting-challenges-of-taking-carbon-out-of-the-equation.html,Can R&D solve the daunting challenges of taking carbon out of the equation?,sources/FA25_SP26/final_dataset_cleaned.csv,44,logical_record_including_header,689f330321e42ea608070b2590fa24ee6c2bfb06dbc671941b1f0a927f4ceffa,d7dd8c181bd09be93632a1343def76a12691aca61aa050621ca8b355c6073af9,2993,2110,"to find new processes and disruptive technologies, innovate, and improve existing ones.",For more on the subject: Total Energy Ventures Invests in the Future,"[{""offset"": 2179, ""text"": ""And the challenges abound. For example, capturing the carbon from a coal-fired""}]",over_excludes_body,adopt_minimal_navigation_exclusions,链接后仍是 Total CCUS 研发挑战，包括捕集效率损失、运输材料、储层完整性与市场条件；这些限制会被现边界遗漏。,"[[0, 2110], [2179, 2993]]","[{""start"": 2110, ""end"": 2179, ""text"": ""For more on the subject: Total Energy Ventures Invests in the Future ""}]",2924,814,0,exact_body_from_sha256_bound_baseline_csv,原文在约 3000 字符处以省略号结束，保持 body_truncated_suspected；恢复区间不能证明全文完整。,not_assessed,ai,false,
pb-06,b3f111b8-a190-57d1-ad50-9a111773f1fd,https://www.cnbc.com/advertorial/2017/02/17/algorithms-to-make-energy-smarter.html,Algorithms to make energy smarter,sources/FA25_SP26/final_dataset_cleaned.csv,45,logical_record_including_header,689f330321e42ea608070b2590fa24ee6c2bfb06dbc671941b1f0a927f4ceffa,580a0d42a1b6b9264477463df6915f8093cabc1ab67b2077c54ad56dc866a1fd,2998,2277,"disparate objects, and using them to operate and manage grids more efficiently.","For more on the subject: Pangea, High Performance Computing for 3D Oilfield","[{""offset"": 2362, ""text"": ""That is right up AutoGrid's alley. Total Energy Ventures, the Group's corporate""}]",over_excludes_body,adopt_minimal_navigation_exclusions,Pangea 油田建模是链接标题；随后回到 AutoGrid 与 TEV 投资、数字能源管理和同篇受访者观点。,"[[0, 2277], [2362, 2998]]","[{""start"": 2277, ""end"": 2362, ""text"": ""For more on the subject: Pangea, High Performance Computing for 3D Oilfield Modeling ""}]",2913,636,0,exact_body_from_sha256_bound_baseline_csv,原文在约 3000 字符处以省略号结束，保持 body_truncated_suspected；恢复区间不能证明全文完整。,not_assessed,ai,false,
pb-07,b34253c5-213e-5057-8fc5-1a9872709cab,https://www.cnbc.com/advertorial/2018/05/29/seven-sustainable-mobility-solutions-that-work-in-less-than-10-years.html,"Seven sustainable mobility solutions that work, in less than 10 years",sources/FA25_SP26/final_dataset_cleaned.csv,67,logical_record_including_header,689f330321e42ea608070b2590fa24ee6c2bfb06dbc671941b1f0a927f4ceffa,0c07ce770f58c8af88d0dfe7e1ed05345f0ccee0ad6314fc1eed81ff6229c7be,2998,2830,"make their voices count and take very concrete, short- and medium-term action.",For more on the subject: Addressing the challenge of 1.8 billion cars,"[{""offset"": 2908, ""text"": ""First, sustainable mobility articulates perfectly with Total's ambition to be the respo...""}]",over_excludes_truncated_fragment,adopt_minimal_navigation_exclusions,交通链接标题之后是本篇回答的开头，但现有源文件只余 90 字符残句。它不是导航；恢复该片段不意味着得到一个完整可引用事实。,"[[0, 2830], [2908, 2998]]","[{""start"": 2830, ""end"": 2908, ""text"": ""For more on the subject: Addressing the challenge of 1.8 billion cars in 2035 ""}]",2920,90,0,exact_body_from_sha256_bound_baseline_csv,原文在约 3000 字符处以省略号结束，保持 body_truncated_suspected；恢复区间不能证明全文完整。,not_assessed,ai,false,
pb-08,f8d21b65-795c-58b0-b3b1-33e68c200534,https://www.cnbc.com/advertorial/2018/07/18/world-gas-conference-2018-the-major-challenges-of-natural-gas.html,World Gas Conference 2018: The major challenges of natural gas,sources/FA25_SP26/final_dataset_cleaned.csv,70,logical_record_including_header,689f330321e42ea608070b2590fa24ee6c2bfb06dbc671941b1f0a927f4ceffa,026268aa8ad87be179e03ba8ae4419c245359f43ed1ab937e7db89047d7f06fb,2996,2348,"with cheaper fuels, such as coal, that have a greater environmental impact.",For more on the subject: Total at WGC 2015: Propelling Natural Gas,"[{""offset"": 2460, ""text"": ""The WGC is a must-attend event. Since 1931, it has been the""}]",over_excludes_body,adopt_minimal_navigation_exclusions,2015 WGC 是相关链接标题；后文继续当前 WGC 的行业活动、Total 参会及天然气投资历史。,"[[0, 2348], [2460, 2996]]","[{""start"": 2348, ""end"": 2460, ""text"": ""For more on the subject: Total at WGC 2015: Propelling Natural Gas to the Center of the Future World Energy Mix ""}]",2884,536,0,exact_body_from_sha256_bound_baseline_csv,原文在约 3000 字符处以省略号结束，保持 body_truncated_suspected；恢复区间不能证明全文完整。,not_assessed,ai,false,
pb-09,f13fa000-f2b1-5551-a93b-bf09e31d784e,https://www.cnbc.com/advertorial/2018/08/03/a-competitive-lacq-embraces-the-circular-economy.html,A competitive Lacq embraces the circular economy,sources/FA25_SP26/final_dataset_cleaned.csv,71,logical_record_including_header,689f330321e42ea608070b2590fa24ee6c2bfb06dbc671941b1f0a927f4ceffa,ad12ac1801636bf6233e6fa7e709c83c4a93f2ee2107cf0af0b914af99f4a209,2995,1029,"as Arkema, Toray CFE and Vertex. Continuity and renewal, in one package.",For more on the subject: Delivering on all of gas' promises Here,"[{""offset"": 1089, ""text"": ""Here at Lacq in southwestern France, SOBEGI's customers reap the benefits of""}, {""offset"": 2859, ""text"": ""There are many advantages to producing energy locally. Taken from the Lacq""}]",over_excludes_body,adopt_minimal_navigation_exclusions,两块相关链接之间是本篇 SOBEGI/PEGAZE 联产机制、H2S 与甲烷处理、发电容量和供能比例；第二块之后仍回到 Lacq 本地生产优势。,"[[0, 1029], [1089, 2774], [2859, 2995]]","[{""start"": 1029, ""end"": 1089, ""text"": ""For more on the subject: Delivering on all of gas' promises ""}, {""start"": 2774, ""end"": 2859, ""text"": ""For more on the subject: Flaring: Equivalent to taking 77 million cars off the road? ""}]",2850,1821,0,exact_body_from_sha256_bound_baseline_csv,原文在约 3000 字符处以省略号结束，保持 body_truncated_suspected；恢复区间不能证明全文完整。,not_assessed,ai,false,
pb-10,2e992194-2799-5a0c-a62d-34fe0492f605,https://www.cnbc.com/advertorial/2018/11/26/10-million-tons-of-carbon-not-emitted.html,10 million tons of carbon not emitted,sources/FA25_SP26/final_dataset_cleaned.csv,78,logical_record_including_header,689f330321e42ea608070b2590fa24ee6c2bfb06dbc671941b1f0a927f4ceffa,407e4350147088666803b53d18f55d18d0e43ca60e0b2d2129b86ae8a82a65f8,2998,1682,"offer at least one Total Ecosolutions product or service in every market.""",For more on the subject: The Bitumen Industry Tackles Environmental Challenges What,"[{""offset"": 1761, ""text"": ""What makes the Total Ecosolutions label reliable is the labeling process, which""}]",over_excludes_body,adopt_minimal_navigation_exclusions,沥青文章是链接标题；后文继续本篇 Ecosolutions 的 ISO 14020/14021、EY 核验、申请材料及营销团队流程。,"[[0, 1682], [1761, 2998]]","[{""start"": 1682, ""end"": 1761, ""text"": ""For more on the subject: The Bitumen Industry Tackles Environmental Challenges ""}]",2919,1237,0,exact_body_from_sha256_bound_baseline_csv,原文在约 3000 字符处以省略号结束，保持 body_truncated_suspected；恢复区间不能证明全文完整。,not_assessed,ai,false,
