核对日期,类别,文档性质,标题,项目相对路径,用途,格式,仓库状态,字节数,SHA256
2026-09-17,四、数据契约、附件与正文质量,历史只读审计,数据资产与主要问题（只读核查）,analysis/data_audit.md,原始工作表、缺失值、行数和字段异常的早期证据。,md,新增文档（尚未 Git 跟踪）,7672,2890be1aa5ff73ec1ecbf8877c27bfe8869a92d722047cb6988f68d2341ada3d
2026-09-17,六、历史研究、产品参考与文本快照,历史研究分析,FA26 背景链接逐项阅读：研究目的与项目用途,analysis/fa26_background_readings.md,研究问题、方法与限制；不把每条广告自动认定为误导，也不证明看板社会效果。,md,新增文档（尚未 Git 跟踪）,9586,cd54e27027c2157fe771ce5d607c776c61cca61b9f7d6c58a83eadd617e994d0
2026-09-17,六、历史研究、产品参考与文本快照,历史演示文本,CLAIMS,analysis/fa26_class_final_text.txt,了解 CARDS/CLAIMS、旧模型与指标；不是当前项目演示或已验证源码。,txt,新增文档（尚未 Git 跟踪）,9593,13fbd553641b7d5afade7de424d4e1c3a7314ec61f73d574b9f67db864a340c4
2026-09-17,六、历史研究、产品参考与文本快照,历史演示文本,## Slide 1 g3ada27d8e27_3_3,analysis/fa26_class_slides.md,了解 CARDS/CLAIMS、旧模型与指标；不是当前项目演示或已验证源码。,md,新增文档（尚未 Git 跟踪）,8031,e205ad00f123a7fab6ad30036c4cba978ecaf7c086f2e123b52ca675b6640a93
2026-09-17,六、历史研究、产品参考与文本快照,历史访问证据,FA26 Google 网页逐项核读,analysis/fa26_google_links.md,当时实际读到的文件、目录与受限入口；404/登录页不能当成空目录。,md,新增文档（尚未 Git 跟踪）,6621,2946de7f970085f718d2944c8c96f815ecb2fe1d929902d947e3a75c7449451f
2026-09-17,六、历史研究、产品参考与文本快照,旧版模板快照,Project name,analysis/fa26_meeting_deck_text.txt,可参考沟通组织；两模板已从最新版介绍删除，模板内复制/日期指示不是当前任务。,txt,新增文档（尚未 Git 跟踪）,659,ebfbea1509456d5582eb3b66e7bc5120b0d702b6971b24d390dbabe31ace4424
2026-09-17,六、历史研究、产品参考与文本快照,旧版模板快照,Weekly Notes Template: copy/paste each week),analysis/fa26_notes_template_text.txt,可参考沟通组织；两模板已从最新版介绍删除，模板内复制/日期指示不是当前任务。,txt,新增文档（尚未 Git 跟踪）,513,942bda501cb0948c62599e1f01dcb30c296c34502d09087db25824e6c3573c4b
2026-09-17,二、原始要求与计划如何核对,历史文本快照,Project Description,analysis/FA26_project_brief.txt,回查早期介绍内容；与最新版有差异时，以最新 DOCX 条款摘录为准。,txt,新增文档（尚未 Git 跟踪）,16619,39c4de7326ec7bbfb74c2afd7f60e2ca20346917391945277f14f1538a39dfa6
2026-09-17,六、历史研究、产品参考与文本快照,历史产品／来源阅读,FA26 链接核读：Miami 原型、Junkipedia 示例、旧源码仓库,analysis/fa26_prototype_sources.md,区分原型限制、单帖示例和未取得源码；不推定线上状态今天未变。,md,新增文档（尚未 Git 跟踪）,9865,4946c41e63385c8524ff4738b6aaad141bf167c3603e25c62bd77e656b94db2a
2026-09-17,六、历史研究、产品参考与文本快照,历史产品研究,FA26 三个参考网站：逐站阅读与项目目的,analysis/fa26_reference_sites.md,How Do They Lobby?、The Big Green Machine、Big Ag Network 的用途与机制；参考设计不是新增课程要求。,md,新增文档（尚未 Git 跟踪）,10482,7e0c5e1cc8dfc1f1f8080e1ba10b9ba254bd09330ab034e43a60c2d516bba43d
2026-09-17,六、历史研究、产品参考与文本快照,网页快照,Native Ads Are Shaping Climate Opinions. BU Researchers Say There’s a Way to Resist | The Brink | Boston University,analysis/fa26_web_sources/bu.html,对应研究介绍的保存内容；不是现时网页或独立实验。,html,新增文档（尚未 Git 跟踪）,238406,ee66b235de3206ecfcbb0c59acd859abb026c747172d8a589e85d015b12c2605
2026-09-17,六、历史研究、产品参考与文本快照,报告文本快照,--- PAGE 1 ---,analysis/fa26_web_sources/greenpeace_compressed.txt,社交采样、文本/图像及标签口径；提取文本不代替图表和排版核对。,txt,新增文档（尚未 Git 跟踪）,144910,54caf0a49583c8d666326b36541d31882dc0eeb389ee804f5a330526d2eaa766
2026-09-17,六、历史研究、产品参考与文本快照,同一来源的两种快照,The “Future of Energy”? Building resilience to ExxonMobil’s disinformation through disclosures and inoculation | npj Climate Action,analysis/fa26_web_sources/nature.html,查论文具体方法和结论；两份文件不算两个独立来源。,html,新增文档（尚未 Git 跟踪）,394593,621b707496238c2cdcaf2766b8d41d830ce790bc9e730ae3d469d2c61b2c6288
2026-09-17,六、历史研究、产品参考与文本快照,同一来源的两种快照,The “Future of Energy”? Building resilience to ExxonMobil’s disinformation through disclosures and inoculation | npj Climate Action,analysis/fa26_web_sources/nature.txt,查论文具体方法和结论；两份文件不算两个独立来源。,txt,新增文档（尚未 Git 跟踪）,60066,b8e17a680cfd96d09ae52a473c57ccead1b9896327d67875a304e45754f5664b
2026-09-17,六、历史研究、产品参考与文本快照,历史单例快照,Above is a Buisness Insider Article Titled “7 things to know about carbon capture and storage technology” which is sponsored by Exxon Mobil. It argues,analysis/NATIVE ADS Demo Example.txt,一篇 CCS 广告的 CARDS/CLAIMS 解释，非完整标签规范或准确率证明。,txt,新增文档（尚未 Git 跟踪）,2782,d8bf0f5ef171982f75f0e9106366254aa061bd6bea413966458afc58ce40db23
2026-09-17,四、数据契约、附件与正文质量,历史代码证据,本次 PDF 归档中恢复的代码：静态阅读,analysis/pdf_archive/code_review.md,三份采集/合并/重试工具的真实作用和断点；未执行代码。,md,新增文档（尚未 Git 跟踪）,5642,9313a35641ba963bf3fb47795681a908beb2c9f8841738215731ed7f12c849b6
2026-09-17,四、数据契约、附件与正文质量,历史代码文本快照,[code],analysis/pdf_archive/combine_files_source.txt,便于阅读 Notebook 单元格；文本在此不作为可直接执行的维护脚本。,txt,新增文档（尚未 Git 跟踪）,1142,abbfca582a1bb882670cc370faf203d6b7c5a56a058f15b60f81997eb9df2c93
2026-09-17,四、数据契约、附件与正文质量,内容阅读分析（AI 编写）,fall_2025_run JSONL 内容阅读,analysis/pdf_archive/fall_content_review.md,7 文件、45 记录的格式、广告叙述及来源限制；不是新增 45 篇。,md,新增文档（尚未 Git 跟踪）,9508,5bb1422459fb62ba0b9d34eda69f9d7d62ea1c8d0b182f1c49eb4df64848b458
2026-09-17,四、数据契约、附件与正文质量,历史归档审计,Nested archive review,analysis/pdf_archive/nested_review.md,系统附属文件、重复内容和 12 个独有文件的来源。,md,新增文档（尚未 Git 跟踪）,4984,4ccab5b737309d42a4ed749a0fe47d330c060d4d62ddb3c60c0ad191d0a53263
2026-09-17,四、数据契约、附件与正文质量,历史代码文本快照,[code],analysis/pdf_archive/process_error_file_source.txt,便于阅读 Notebook 单元格；文本在此不作为可直接执行的维护脚本。,txt,新增文档（尚未 Git 跟踪）,7813,11c6bd8dec7010cb4314e173543dc9ad32b564be5e89b1c8a723646bff639873
2026-09-17,四、数据契约、附件与正文质量,有限样本分析底稿（AI 编写）,summer_2025_run 有限样本阅读补充,analysis/pdf_archive/summer_content_review.md,明确阅读过的 8 个文本样本及质量；没有声称逐篇精读夏季全部 PDF。,md,新增文档（尚未 Git 跟踪）,6436,0d8e99e364431bab3a21a5220d047f35783ceeea3693fec3df857d36d14e1364
2026-09-17,四、数据契约、附件与正文质量,历史待建方案,数据层到检索的关键契约（待建方案）,analysis/pipeline_data_contract.md,理解设计取舍；其中“未发现 schema/数据库”是实施前状态，不能当当前结论。,md,新增文档（尚未 Git 跟踪）,20655,6f656d13c26b30fbeb25aed2f55f126819f8b21de96780f7172213d9ec648c9a
2026-09-17,四、数据契约、附件与正文质量,历史源码／交接审查,已有技术路线：按代码与交接材料重建 pipeline,analysis/pipeline_existing_review.md,区分已读采集代码、仅有文档描述和缺失组件；不是当前 Python 包实现说明。,md,新增文档（尚未 Git 跟踪）,10905,6c2b562a1ae304243c5783749330d5b9136871f823b41013c4eec27c787719aa
2026-09-17,六、历史研究、产品参考与文本快照,历史方法审计,FA25/SP26 既有方法与验证审查,analysis/prior_methods_review.md,旧标签粒度、指标版本及可复现限制；句子分类成绩不能替代 RAG 成绩。,md,新增文档（尚未 Git 跟踪）,6840,3894c58d5497ed962aadc55f43ddacdb730d74000f73ea1cd3d54ee5b9d5c1e4
2026-09-17,六、历史研究、产品参考与文本快照,研究手稿提取快照,Climate action and native advertising: How fossil fuel companies position their sincerity in American and British news media,analysis/Wells Amazeen Weinberg IJPP Jan 2025_after MA.txt,采样、原生广告身份与人工内容编码；其样本和变量不是当前 12 标签的正式规范。,txt,新增文档（尚未 Git 跟踪）,57396,dbc94f12702f97c5fb97d77199ab81d42a3d17ebda952e01f01b86211a54db26
2026-09-17,七、演示与交付材料,历史 research preview,Research preview 中文演示讲稿,deliverables/demo_script.zh-CN.md,演示早期已接入 Native 的功能和 smoke；保留原快照，不引用为当前统计。,md,Git 已跟踪,10490,e2fe49ec23f29fea6ff52dd32725788611b1547858e1f7687c0ba46982706203
2026-09-17,七、演示与交付材料,历史 research preview,FA26 CISS Observatory 0.2.2 研究预览讲稿,deliverables/demo_script_v0_2_2.zh-CN.md,对应 0.2.2 的 554 块快照；当前为 556 块。不是双数据集、公众环境或最终客户验收演示。,md,Git 已跟踪,9848,e35a91126eeee2c5e455b2a4fd83e17e75dd6a4d48d9e054e8027e4fe900471e
2026-09-17,七、演示与交付材料,历史 research preview,research_preview,deliverables/research_preview.pptx,演示早期已接入 Native 的功能和 smoke；保留原快照，不引用为当前统计。,pptx,Git 已跟踪,36132,2ee65d393a63875d272a322a68de545223801f725fd889c1a341206d9ff89a7f
2026-09-17,七、演示与交付材料,历史 research preview,research_preview_v0_2_2,deliverables/research_preview_v0_2_2.pptx,对应 0.2.2 的 554 块快照；当前为 556 块。不是双数据集、公众环境或最终客户验收演示。,pptx,Git 已跟踪,43784,343e8c6963edfd48f2b224786b9e3cf8dd9a06179dd1db8ba480c2085456cbf8
2026-09-17,一、当前入口,当前状态,实施与验收状态 — 0.3.1 研究界面修订,docs/acceptance_status.md,当前状态。按内部模块汇总证据与依赖；M1–M8 是项目组织方式，不是原文条款编号。,md,Git 已跟踪,9533,93a513b957fca71ce9e22ca97e0c8b6d495e8f17b5055a32bc3f3496fae2c2ac
2026-09-17,三、运行、维护与交接,实现说明，标题保留 0.2.3,架构与数据流 — 0.2.3,docs/architecture.md,看应用、数据库、导入、检索和来源版本如何关联；较新的具体修复同时查版本报告。,md,Git 已跟踪,11430,2c6b4c2eaee159a5834f789f665af4bdb8ec768fe6414b7d8105507eb4f806c0
2026-09-17,四、数据契约、附件与正文质量,当前输入说明，标题保留 0.2.3,Data import contract — 0.2.3,docs/data_dictionary.md,源字段、资格、未知值、历史标签、manifest、正文区间和证据坐标。数据版本变化由后续报告补充。,md,Git 已跟踪,22869,ec5e3d91de8b49d17debefb282f06e54e39119d65d4fc76765c03b2dc2d320fd
2026-09-17,七、演示与交付材料,历史制作／视觉检查证据,Research preview 制作与证据记录,docs/demo_quality.md,对应第一版英文预览的内容与版式；不代表项目已验收。,md,Git 已跟踪,3086,ee03b9c1388d3b176ba3b19e913e6f7b0a3097c25e2a392a1c15844cdbb05e04
2026-09-17,导航,当前导航,项目文档阅读索引,docs/DOCUMENT_INDEX.zh-CN.md,按阅读目的查找当前文档、原始资料和历史证据。,md,新增文档（尚未 Git 跟踪）,22494,166e9fb15ee1530c2d40fb49f5cd09a4d819f23dec06d858e77611961bf7016c
2026-09-17,五、评价协议与版本证据,当前协议＋验收草案边界,M6：开发评估与验收草案,docs/evaluation_protocol.md,20 开发题与 20 验收草案、ready/pending、人工冻结和评分口径；这些题数是项目方案，不是课程原文阈值。,md,Git 已跟踪,16676,9607d98b151ea0e4345ebeac6174dc526eee04dac3831419d4d06f61dd506073
2026-09-17,三、运行、维护与交接,当前交接入口,CISS Observatory 当前交接说明,docs/handoff.md,接手顺序、精确命令、依赖、私有输入、源码包和各次复现证据。,md,Git 已跟踪,20320,cb538c42fe13ca916ad21f8a010064e8157c1a289d488db693400cc7fdf2f4b5
