"run_id","data_version","case_id","claim_id","question","rubric","claim","citation_number","record_id","version_id","evidence_id","title","source_url","quote","quote_start","quote_end","paragraph_ids","context_excerpt","ai_text_support","ai_attribution","ai_units_temporality","ai_task_completeness","ai_language","ai_notes","suggested_action","local_language_status","human_verdict","human_notes"
"612863daa16a48dcb3a2b1179eb3479d","d85a98002e4493f0376c260ad82253ee","dev-01","dev-01-1","What feedstock supplies the biogas digesters used in Total and GoodPlanet's employee air-travel offset project, and where is the project?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The digesters are fed daily with livestock slurry. [1]","1","01374b51-3fae-5fe7-8c60-b4bffa2b7ba0","eaae7ec0fbb8b83f82532ee0722ce0c2c95d51dcfd9df8ea4e24ec72b82dfdef","f5757e1fa9dd3d7a6669524340f2affbba46c7afc6a198ef0c567d62b6a9acc5","Biogas to offset air travel emissions","https://www.cnbc.com/advertorial/2018/11/09/biogas-to-offset-air-travel-emissions.html","A biogas digester is a concrete structure with a fermentation chamber that is fed with livestock slurry each day. As the slurry decomposes, it produces biogas (methane and CO2) that can supply a household with two to three cubic meters of gas per day, or three to four hours of cooking heat and hot water.","1126","1431","[""p1""]","Total and GoodPlanet Foundation signed an agreement in late 2017 to neutralize the carbon emissions of all Total employee air travel through a biogas digester project in Adilabad district, India.","有据","缺少显式广告归因","每日原料为畜粪浆；没有将产气或健康效果列为实测。","与第二条合计覆盖原料和地点。","英文，与题目一致","每日畜粪浆原料有直接原句，项目归属由同 evidence 前文确认。答案仍未显式说广告称，rubric 的来源归因要求未充分呈现。","在答案开头加入 According to the advertisement，后句承接该归因。","inconclusive","",""
"612863daa16a48dcb3a2b1179eb3479d","d85a98002e4493f0376c260ad82253ee","dev-01","dev-01-2","What feedstock supplies the biogas digesters used in Total and GoodPlanet's employee air-travel offset project, and where is the project?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The project is in Adilabad district, India. [2]","2","01374b51-3fae-5fe7-8c60-b4bffa2b7ba0","eaae7ec0fbb8b83f82532ee0722ce0c2c95d51dcfd9df8ea4e24ec72b82dfdef","f5757e1fa9dd3d7a6669524340f2affbba46c7afc6a198ef0c567d62b6a9acc5","Biogas to offset air travel emissions","https://www.cnbc.com/advertorial/2018/11/09/biogas-to-offset-air-travel-emissions.html","""We'd reduced the number of trips by 20 percent since 2014. It didn't make sense to offset our carbon emissions without cutting back on air travel first."" Total and GoodPlanet Foundation signed an agreement in late 2017 to neutralize the carbon emissions of all Total employee air travel through a biogas digester project in Adilabad district, India.","775","1125","[""p1""]","","有据","缺少显式广告归因","印度 Adilabad 区；没有新增数量、日期或抵消绩效。","明确回答项目地点，与第一条共同完成事实信息点。","AI 阅读为英文，与题目一致；本地检测本句 inconclusive，不改写检测结果","地点直接有据。本句英文结构清楚，但地名占比较高；本地检测不确定与实际读到错误语言不同。广告归因仍未显式写出。","让本句明确承接 According to the advertisement。","inconclusive","",""
"612863daa16a48dcb3a2b1179eb3479d","d85a98002e4493f0376c260ad82253ee","dev-02","dev-02-1","How does the ExxonMobil Baytown hydrogen advertisement link natural gas to CCS, and is the new hydrogen facility described as already completed?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The advertisement describes blue hydrogen as being produced from natural gas together with carbon capture and storage (CCS). [1]","1","0d2b4bc2-4397-5604-8235-fcda8c7088f7","7edbf6617dc344578452865c341bfe53f5f18beb6b9bc30caa51aa6e96269cde","c073c2acb5b73e32052753e012aa8417b7b0026652834dafc4d2fcd38df051f7","Hydrogen: Another Chapter in ExxonMobil's Lower-Emissions Ambitions","https://partners.wsj.com/exxonmobil/business-of-carbon-capture-and-storage/hydrogen-another-chapter-in-exxonmobils-lower-emissions-ambitions/","Blue hydrogen is a low-carbon fuel produced from natural gas in combination with carbon capture and storage (CCS). This clean-burning fuel produces zero CO2 when combusted, meaning it can play a vital role in a lower-emission future.","279","512","[""p1""]","","有据","明确归于 advertisement","蓝氢由天然气与 CCS 结合生产；未把燃烧端零 CO2 扩大为生命周期零排放。","回答天然气与 CCS 的连接机制。","英文，与题目一致","claim 只转述 quote 的生产关系，未将引文第二句的额外环保主张带入回答。","","match","",""
"612863daa16a48dcb3a2b1179eb3479d","d85a98002e4493f0376c260ad82253ee","dev-02","dev-02-2","How does the ExxonMobil Baytown hydrogen advertisement link natural gas to CCS, and is the new hydrogen facility described as already completed?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The Baytown hydrogen facility is presented as a recently announced plan to build, not as already completed. [2]","2","0d2b4bc2-4397-5604-8235-fcda8c7088f7","7edbf6617dc344578452865c341bfe53f5f18beb6b9bc30caa51aa6e96269cde","c073c2acb5b73e32052753e012aa8417b7b0026652834dafc4d2fcd38df051f7","Hydrogen: Another Chapter in ExxonMobil's Lower-Emissions Ambitions","https://partners.wsj.com/exxonmobil/business-of-carbon-capture-and-storage/hydrogen-another-chapter-in-exxonmobils-lower-emissions-ambitions/","By ExxonMobil There's a buzz in Baytown, Texas. The city just outside of Houston is already home to one of ExxonMobil's largest integrated refining and chemical complexes. It's also the site of the company's recently announced plan to build a world-scale blue hydrogen facility.","0","278","[""p1""]","","有据","承接前句 advertisement，并用 is presented 明确转述","新蓝氢设施为 recently announced plan；没有将既有炼化综合体误作新设施已完工。","直接回答是否已完成。","英文，与题目一致","quote 区分既有炼化综合体和新宣布的蓝氢设施建设计划。","","match","",""
"612863daa16a48dcb3a2b1179eb3479d","d85a98002e4493f0376c260ad82253ee","dev-02","dev-02-3","How does the ExxonMobil Baytown hydrogen advertisement link natural gas to CCS, and is the new hydrogen facility described as already completed?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The advertisement says the facility could produce up to 1 billion cubic feet per day once completed, further indicating that completion is still in the future. [3]","3","0d2b4bc2-4397-5604-8235-fcda8c7088f7","7edbf6617dc344578452865c341bfe53f5f18beb6b9bc30caa51aa6e96269cde","c073c2acb5b73e32052753e012aa8417b7b0026652834dafc4d2fcd38df051f7","Hydrogen: Another Chapter in ExxonMobil's Lower-Emissions Ambitions","https://partners.wsj.com/exxonmobil/business-of-carbon-capture-and-storage/hydrogen-another-chapter-in-exxonmobils-lower-emissions-ambitions/","Once completed, the new facility could produce up to 1 billion cubic feet a day of blue hydrogen that can be used to help fuel the existing Baytown complex as well as other industrial facilities in the area.","688","895","[""p1""]","","有据；蓝氢对象由同答前两句及 quote 明确","明确归于 advertisement","最多每天 10 亿立方英尺，保留 could、up to、once completed；本句省略 blue hydrogen。","是未完成状态的相关补充；整份答案已说明蓝氢产物。","英文，与题目一致","不同于 dev-07，本题前两句已经明确蓝氢，所以产物省略主要是孤立阅读清晰度问题。completion is still in the future 应按广告的叙述时间理解，不能外推为当前状态。","补 of blue hydrogen，并可写 future at the time of the advertisement。","match","",""
"612863daa16a48dcb3a2b1179eb3479d","d85a98002e4493f0376c260ad82253ee","dev-03","dev-03-1","What caveat does the Statoil-commissioned Forbes technology article acknowledge about carbon capture deployment?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The article acknowledges that carbon capture appears workable technologically, but has had very little successful deployment to date. [1]","1","11cb9509-d4c7-5bbe-bd19-ad24d914e43e","8bccf73894f2cbf7e0de049b4e3d8d861950166dc034008dcc9922245b77a9c8","5d7fcc01e5f4640df12ff0a636fcdbc92d8e6d33a587f137720066ce1ca072c3","The Technology Behind Energy Innovation","https://www.forbes.com/sites/statoil/2015/03/05/the-technology-behind-energy-innovation/","""There is a lot of talk around carbon capture,"" comments Michel Di Capua of Bloomberg New Energy Finance. ""In some respects, especially from a technology perspective, it appears workable, but to date it has had very little successful deployment."" Delivery and transport of energy is not left out of the new-tech equation.","2725","3046","[""p1""]","Some solutions considered promising are currently under-delivering. Carbon capture and storage (CCS) is vital for the goal of meeting future energy demand while remaining on a low-carbon path, but it still faces economic challenges despite the existence of proven technology.","有据","The article acknowledges 明确归于文章","技术上看似可行、截至文章所述时期成功部署很少；未说绝对不可行。","已答部署不足，省略同 evidence 明确写出的经济挑战；原题及 rubric 未显式要求穷尽原因，需人工裁定完整性。","英文，与题目一致","忠实转述技术看似可行但成功部署很少。全文 evidence 同段明确经济挑战，答案仍未给出；现有问题和 rubric 未明确要求列出所有原因，应由人工按解释部署困难的目的判断完整性。","可补文章认为即使技术已获证实仍面临经济挑战，并将 to date 限于文章发表时。","match","",""
"612863daa16a48dcb3a2b1179eb3479d","d85a98002e4493f0376c260ad82253ee","dev-04","dev-04-1","Why does AFPM's Politico plastics advertisement describe limits to mechanical recycling?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The advertisement says mechanical recycling is limited because shredding and melting post-consumer plastic weakens it over time, restricting how much recycled content can be added to bags or cups without reducing their strength. [1]","1","efb2878e-efea-5821-a9c1-20851779c77a","f4cd4434854b6676f9802fb9029d631471e5803e90c742e0c6ffb9112072568e","220356629a5e67ab9420ba4b88a6abf88563d951315311aa42f445b53579cf7b","Petrochemical manufacturers use chemistry to make plastic more sustainable and recyclable - POLITICO","https://www.politico.com/sponsor-content/2019/03/petrochemical-manufacturers","But by simply shredding and melting post-consumer waste into new pellets, its scale is limited — the process weakens the plastic over time, and therefore restricts how much postconsumer recycled content can be put in a plastic bag or cup without compromising strength.","2571","2839","[""p1""]","","有据","The advertisement says 明确归于广告","强度逐渐下降限制可掺入的消费后回收料数量；没有改成完全不能回收。","回答机械回收限制的主要原因。","英文，与题目一致","强度随处理下降、限制掺入量均在 quote 中。没有扩大为机械回收完全不能使用。","","match","",""
"612863daa16a48dcb3a2b1179eb3479d","d85a98002e4493f0376c260ad82253ee","dev-04","dev-04-2","Why does AFPM's Politico plastics advertisement describe limits to mechanical recycling?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","It also says mechanically recycled products are often brown or gray because their color is difficult to remove. [2]","2","efb2878e-efea-5821-a9c1-20851779c77a","f4cd4434854b6676f9802fb9029d631471e5803e90c742e0c6ffb9112072568e","220356629a5e67ab9420ba4b88a6abf88563d951315311aa42f445b53579cf7b","Petrochemical manufacturers use chemistry to make plastic more sustainable and recyclable - POLITICO","https://www.politico.com/sponsor-content/2019/03/petrochemical-manufacturers","Another issue is many mechanically recycled products are brown or gray because it is hard to strip out the color. Petrochemical manufacturers have worked for years alongside their customers to tweak and perfect formulas for recycled and virgin plastics, but to create more products that contain primarily recycled material will require the adoption of chemical recycling.","2840","3211","[""p1""]","","有据","It also says 承接 advertisement","often/通常为棕或灰，原因是难脱色；保留频率限定。","同篇相关补充，与机械回收局限直接相关。","英文，与题目一致","颜色和脱色困难有直接原句；often 频率限定保留。没有将 quote 后半必须采用化学回收作为已核实结论。","","match","",""
"612863daa16a48dcb3a2b1179eb3479d","d85a98002e4493f0376c260ad82253ee","dev-05","dev-05-1","How does Total connect bacteria and microalgae in water treatment with CO2 emissions, biogas and biofuels?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","Total says its R&D team is developing biomass using bacteria and microalgae to help offset carbon dioxide emissions. [1]","1","42114981-e507-5753-9b3a-62c09a7624a2","7fe1c03545486246ec78dc5c70e0b3f53587d96cab6c23f787852e377c84166f","f3544aa5fb7e1a6451d37a06551ce9e3a01f86b4dd8632ffbe608bd2ba79fd37","Total: Using biomimicry for cleaner water","https://www.cnbc.com/advertorial/total-using-biomimicry-for-cleaner-water/",""" His R&D team is pioneering ways of creating biomass using bacteria and microalgae, which will help offset CO2 emissions, as well as looking at microalgae to produce biogas and biofuels. Ways of working will change as Total realizes its ambition to become the responsible energy major, BIOMEM will be a part of that change, ""We often work in partnership","6994","7348","[""p1""]","""These sorts of ideas are the backbone of Total's environmental goals,"" says Baldoni-Andrey, ""We are working on other processes for all sorts of different issues. Take the reinjection of water into reservoirs, if we could do that easily and immediately, we could say that we don't have any discharges from the process. That's certainly a point we'd like to reach.""","有据；R&D 团队主体由同 evidence 恢复","Total says 明确归于 Total","菌藻生物质正在研发以帮助抵消 CO2；未说已经实测抵消或广泛部署。","回答菌藻与 CO2 的联系，与第二条合计覆盖题目。","英文，与题目一致","His R&D team 可由同 evidence 的 Baldoni-Andrey/Total 前文恢复。使用 developing 保留研发阶段。","","match","",""
"612863daa16a48dcb3a2b1179eb3479d","d85a98002e4493f0376c260ad82253ee","dev-05","dev-05-2","How does Total connect bacteria and microalgae in water treatment with CO2 emissions, biogas and biofuels?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The same R&D work is examining microalgae as a source for biogas and biofuels. [2]","2","42114981-e507-5753-9b3a-62c09a7624a2","7fe1c03545486246ec78dc5c70e0b3f53587d96cab6c23f787852e377c84166f","f3544aa5fb7e1a6451d37a06551ce9e3a01f86b4dd8632ffbe608bd2ba79fd37","Total: Using biomimicry for cleaner water","https://www.cnbc.com/advertorial/total-using-biomimicry-for-cleaner-water/",""" His R&D team is pioneering ways of creating biomass using bacteria and microalgae, which will help offset CO2 emissions, as well as looking at microalgae to produce biogas and biofuels. Ways of working will change as Total realizes its ambition to become the responsible energy major, BIOMEM will be a part of that change, ""We often work in partnership","6994","7348","[""p1""]","""These sorts of ideas are the backbone of Total's environmental goals,"" says Baldoni-Andrey, ""We are working on other processes for all sorts of different issues. Take the reinjection of water into reservoirs, if we could do that easily and immediately, we could say that we don't have any discharges from the process. That's certainly a point we'd like to reach.""","有据；R&D 团队主体由同 evidence 恢复","The same R&D work 承接 Total says","examining 保留研究中的微藻沼气及生物燃料路线；没有生产数量或运行结果。","补齐 biogas 和 biofuels；两条共同回答原问题，不要求展开全部水处理机制。","英文，与题目一致","同一 quote 直接写 looking at microalgae to produce biogas and biofuels。与第一条重复 quote 不代表新增独立证据。","","match","",""
